site_id,year,week_index,start_date,t2m_08,t2m_mean_08_18,t2m_min_08_18,t2m_max_08_18,t2m_absmax_08_18,t2m_absmin_08_18,rh_08,rh_mean_08_18,rh_absmax_08_18,wind_mean,wind_min,wind_max,wind_absmax,n_obs,n_days,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability
1,2022,1,2022-01-01,-11.059550642857143,-5.833645571428571,-11.676145257142858,-2.4060102142857147,11.307526,-19.765152,47.69457779067113,37.50654948090183,46.0861075636103,4.978812914285713,2.945591314285714,7.001802171428571,9.9400215,7,7,0.0,1.0,1.0,0.0
1,2022,2,2022-01-08,-1.5961913142857145,4.4189188,-2.6110533714285715,8.5323354,12.355621,-9.357574,58.751720500082456,43.55743520554919,64.80269875546928,4.495343942857143,2.399588328571429,6.473163357142858,10.606445,7,7,0.0,1.0,0.8571428571428571,0.0
1,2022,3,2022-01-15,-6.162109428571428,-0.7596309142857143,-6.3946185,2.771750452857144,13.05777,-15.132233,51.97559582380774,40.635709670747865,53.31284915035194,4.644154742857142,2.6021254857142857,6.628202,9.550316,7,7,0.0,1.0,1.0,0.0
1,2022,4,2022-01-22,-3.693381157142857,1.8326776428571432,-4.526070728571428,5.260236571428571,13.220734,-8.932007,73.2538672492325,49.9289799690312,61.65634252167988,3.938382314285714,1.88647878,6.235173128571428,8.227109,7,7,0.0,1.0,1.0,0.0
1,2022,5,2022-01-29,-5.618089942857142,-0.0129666142857143,-5.778996042857143,3.119703074285714,13.318268,-15.51535,40.9958577152961,29.75711693927999,41.117757796763385,4.057852442857143,2.2771271285714287,5.509529457142857,6.1598263,7,7,0.0,1.0,1.0,0.0
1,2022,6,2022-02-05,1.8685084557142857,6.8367876857142855,0.7353907871428572,10.16159942857143,13.722565,-5.0351257,56.21623964016328,37.61801406556481,46.39895262387476,5.1875915571428575,2.5825774614285715,7.961395785714286,9.658262,7,7,0.0,1.0,1.0,0.0
1,2022,7,2022-02-12,-3.55501014,2.6500018142857145,-3.55501014,6.308641728571429,12.222809,-9.161957,55.27997419610031,38.92125827917933,50.86935225220242,4.513094342857143,2.1338556,6.632472671428571,8.733966,7,7,0.0,1.0,1.0,0.0
1,2022,8,2022-02-19,-9.761812542857143,-5.132793185714285,-10.6971545,-2.1721932914285715,14.878326,-18.764328,49.83284174221664,40.497185581672326,52.674544264782575,4.589057142857143,2.1230946,6.6912239,8.613869,7,7,0.0,1.0,1.0,0.0
1,2022,9,2022-02-26,1.5226701714285718,10.370103557142857,1.5226701714285718,14.6071211,20.745758,-3.9866333,53.39336377002138,33.07919901263866,53.30001508652742,3.785223,1.9568130242857145,4.925811485714285,5.38467,7,7,0.2857142857142857,1.0,1.0,0.2857142857142857
1,2022,10,2022-03-05,-5.933789957142857,-2.850662842857143,-6.238939542857144,-0.7766505214285715,5.512848,-8.865021,54.39656105738998,48.47555520384435,78.68794186884499,4.088929942857143,2.2540285428571427,6.070469228571429,7.7563024,7,7,0.0,0.8571428571428571,1.0,0.0
1,2022,11,2022-03-12,2.4230914,9.8632895,2.4230914,13.47092542857143,17.388092,-6.357025,60.46484747328597,40.7762358898652,52.53986219736796,4.394854985714286,2.1474769714285715,6.241442428571429,7.863897,7,7,0.0,1.0,1.0,0.0
1,2022,12,2022-03-19,4.418958345142857,9.974977514285714,4.357958059428571,12.95829992857143,20.244781,0.034576416,49.96895112069024,34.85900076905146,51.49303394467468,5.654603271428571,3.413196861428572,8.1086791,11.24563,7,7,0.1428571428571428,1.0,0.7142857142857143,0.1428571428571428
1,2022,13,2022-03-26,1.7813328299999998,7.308569042857143,1.7654636899999996,10.680607442857143,16.760162,-1.1385193,53.17122640188999,44.17207601091452,62.88083586237999,4.727758971428571,2.6368058928571427,6.842374971428571,10.308576,7,7,0.0,1.0,0.8571428571428571,0.0
1,2022,14,2022-04-02,6.568302571428572,10.441143714285714,6.039110385714286,12.755977214285716,16.825592,2.1488342,52.751065672659614,33.37043781187661,41.69351876042755,6.9332186857142855,3.9557071857142856,10.348492785714283,14.224117,7,7,0.0,1.0,0.4285714285714285,0.0
1,2022,15,2022-04-09,4.893916548571428,11.004547142857144,4.51818412,14.693756028571428,26.335602,-1.5120544,46.58523942280623,28.235626312211178,36.74221240282496,5.9226247857142855,3.6174112,8.381252485714286,11.43608,7,7,0.2857142857142857,1.0,0.7142857142857143,0.1428571428571428
1,2022,16,2022-04-16,8.22169280857143,14.894759914285714,8.22169280857143,18.38976592857143,30.91275,-0.97055054,50.69311281940704,33.5158466027205,39.50847342875039,5.2241170142857145,2.264193757142857,8.565052171428572,10.990249,7,7,0.5714285714285714,1.0,0.7142857142857143,0.2857142857142857
1,2022,17,2022-04-23,12.531716571428571,15.670832,11.31115292857143,17.72804042857143,24.50943,5.882965,52.63355153611173,43.95478694856382,89.06693419425767,6.099480242857142,3.789405032857143,8.320897857142857,12.855601,7,7,0.4285714285714285,0.8571428571428571,0.7142857142857143,0.4285714285714285
1,2022,18,2022-04-30,6.9210859000000005,10.499290828571429,6.867374957142857,12.635162471428572,21.020416,1.9689026,78.67395649660361,66.37840889780706,97.02558182409106,4.4651765,2.2594797285714288,6.6247409,12.671031,7,7,0.1428571428571428,0.8571428571428571,0.8571428571428571,0.1428571428571428
1,2022,19,2022-05-07,18.650613,22.81510057142857,17.859527571428572,25.165889142857143,29.672516,15.624664,63.61823400761877,48.71167534253659,61.24963671604197,4.904582628571428,2.40944122,8.106036857142858,10.174527,7,7,1.0,1.0,0.8571428571428571,0.8571428571428571
