site_id,year,week_index,start_date,t2m_08,t2m_mean_08_18,t2m_min_08_18,t2m_max_08_18,t2m_absmax_08_18,t2m_absmin_08_18,rh_08,rh_mean_08_18,rh_absmax_08_18,wind_mean,wind_min,wind_max,wind_absmax,n_obs,n_days,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability
38,2025,22,2025-05-28,18.327893999999997,21.914837285714288,17.521323142857145,23.810943714285713,30.022125,14.491608,65.53870509044067,54.617841552178746,86.3701132026008,3.327616928571429,1.9575388,5.305133128571429,8.651373,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571
38,2025,23,2025-06-04,17.875571,21.530809714285713,17.875571,23.213322142857145,25.052399,14.165192,65.55521861339648,49.28433987564275,51.78930375541447,3.1408270285714286,1.58443,4.698371371428571,7.2516403,7,7,1.0,1.0,1.0,1.0
38,2025,24,2025-06-11,21.754512142857145,26.178771285714284,21.754512142857145,28.266789142857142,31.051178,20.581451,73.69625892493868,59.085614431166576,76.50845697036348,2.961225814285714,1.4826119142857144,4.059090442857142,4.9605765,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571
38,2025,25,2025-06-18,23.792075142857147,27.058314857142857,23.445116428571428,29.07995214285714,33.24283,20.254547,78.94991133013018,68.61219580341906,83.88797786352224,4.5134574,2.6143823957142858,6.434409171428571,10.521844,7,7,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714
38,2025,26,2025-06-25,23.54538828571429,26.753542857142858,23.297480857142858,28.745479,30.31485,20.309235,82.79394250354115,67.63369428394297,80.77887385456796,3.0240905428571425,1.1991585042857142,4.796164257142857,6.0186977,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571
38,2025,27,2025-07-02,24.375710714285713,27.479660857142857,24.143288857142856,29.014905428571428,30.82022,23.358795,77.07557120584454,63.80870350944451,74.56993234169778,2.8987346428571428,1.6475307671428572,4.243526371428572,6.5389924,7,7,1.0,1.0,1.0,1.0
38,2025,28,2025-07-09,22.802991714285717,25.685705857142857,22.794097999999998,27.233167142857145,28.751373,21.429596,82.26807037378494,69.80554595920184,88.84153371363777,2.484488785714286,1.0570218271428573,3.9024500142857144,5.228223,7,7,1.0,0.7142857142857143,1.0,0.7142857142857143
38,2025,29,2025-07-16,21.49052657142857,24.28922142857143,21.49052657142857,25.86559614285714,29.543365,16.980621,83.72848941002785,75.78581912406389,83.94887372916835,3.389436257142857,1.947241442857143,5.2853885428571425,9.016384,7,7,1.0,0.42857142857142855,1.0,0.42857142857142855
38,2025,30,2025-07-23,24.885964714285713,27.90692257142857,24.843763285714285,29.475634000000003,31.653473,22.56485,90.3862373541497,74.84267668836529,85.67864224718524,2.605237471428571,1.4798040728571427,3.814987457142857,6.6441355,7,7,1.0,0.5714285714285714,1.0,0.5714285714285714
38,2025,31,2025-07-30,19.983621,22.88900742857143,19.94574442857143,24.12459457142857,26.617584,18.472809,75.35087552605573,60.04572642097893,88.61805635698545,2.6518966285714285,1.3984969757142858,4.1094738,6.491103,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571
