site_id,year,week_index,start_date,t2m_08,t2m_mean_08_18,t2m_min_08_18,t2m_max_08_18,t2m_absmax_08_18,t2m_absmin_08_18,rh_08,rh_mean_08_18,rh_absmax_08_18,wind_mean,wind_min,wind_max,wind_absmax,n_obs,n_days,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability
65,2021,25,2021-06-18,28.477796428571427,32.695207714285715,27.402287142857144,35.41097157142857,37.679596,21.932037,52.957065894781785,38.79839207021793,57.954750005115486,5.187281842857144,3.2473435514285716,7.456797871428571,9.934137,7,7,0.2857142857142857,1.0,1.0,0.2857142857142857
65,2021,26,2021-06-25,26.48166757142857,29.391630142857142,26.477447428571427,31.072976285714283,36.874176,24.13565,72.0916981862915,57.04910916047765,66.5700203643003,3.708725557142857,1.9746966657142857,5.810109514285714,9.770476,7,7,0.8571428571428571,1.0,1.0,0.8571428571428571
65,2021,27,2021-07-02,25.593937285714283,29.02095142857143,25.593937285714283,30.866712714285715,32.91031,24.336578,76.36318786837637,60.00694687248817,66.02012416484126,2.514752285714286,1.4021745214285715,4.149479328571428,5.902253,7,7,1.0,1.0,1.0,1.0
65,2021,28,2021-07-09,26.823604142857143,31.255336857142854,26.823604142857143,33.155879000000006,34.57022,26.018951,63.62290198733591,44.26414191108295,49.53361433162275,4.486473228571429,2.825138342857143,6.2591405,7.663594,7,7,1.0,1.0,1.0,1.0
65,2021,29,2021-07-16,27.024601714285716,30.884990714285713,27.024601714285716,32.631256,35.41104,24.783112,64.55384339298429,45.36141258558737,57.56600142478725,3.410433014285714,1.95311138,5.085503,6.372515,7,7,1.0,1.0,1.0,1.0
65,2021,30,2021-07-23,29.714403285714287,34.03631085714286,29.569802285714285,36.119921285714284,37.433746,27.227692,49.89793701162734,36.79596457597044,44.551689041329126,3.1340157714285715,1.47317668,4.774676914285714,6.9030795,7,7,0.42857142857142855,1.0,1.0,0.42857142857142855
65,2021,31,2021-07-30,27.685176428571427,30.97642157142857,27.18277,33.26058057142857,36.65396,24.951569,54.72205884327207,40.38974490380664,57.20925967536261,3.088344314285714,1.7670402571428572,4.7992919,6.2445717,7,7,0.7142857142857143,1.0,1.0,0.7142857142857143
65,2021,32,2021-08-06,29.07963785714286,34.75896071428571,29.07963785714286,37.285239142857144,38.45865,27.97647,57.17216688964921,35.56148732110462,38.04358778808101,5.875893714285715,4.053401342857143,6.994206271428571,7.9826264,7,7,0.14285714285714285,1.0,1.0,0.14285714285714285
65,2021,33,2021-08-13,26.72266942857143,29.78768457142857,26.72266942857143,31.360574142857143,34.95401,23.231598,69.70639065479638,56.53282133688388,81.64268642971977,3.279223714285714,1.3698071642857141,4.713152571428572,6.5548544,7,7,1.0,0.8571428571428571,1.0,0.8571428571428571
65,2021,34,2021-08-20,28.889731285714284,33.15755957142857,28.889731285714284,35.16247128571428,36.4982,28.004791,56.86981671626072,42.47364614385617,54.45832061657095,4.835410842857143,3.5763074571428572,6.4042246714285715,7.451477,7,7,0.7142857142857143,1.0,1.0,0.7142857142857143
