site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
57,SUNZIA WIND SOUTH,7,5.0632592532142855,42.59882275022375,5.694931828571429,16.339996,-18.217514,84.82664547349326,14.373135,0.0,0.8392857142857143,0.7321428571428572,0.0,7,11,12,12,0.0,True,0.0
58,TATANKA,7,-9.969505688625,62.887719765237776,4.943622146428571,8.541168,-30.294281,92.02776906137136,16.428532,0.0,0.6428571428571428,0.8035714285714286,0.0,7,11,22,10,0.0,True,0.0
59,VALENTINE,7,-3.395429781071428,49.97680174858148,4.591698121428572,17.1232,-32.003372,81.0835613228311,11.308265,0.0,0.9285714285714288,0.9107142857142856,0.0,7,11,5,6,0.0,True,0.0
60,WALNUT,7,-4.878477082857143,60.38522225589062,4.244913017857144,14.135895,-34.82991,90.11217493644432,10.941953,0.0,0.7142857142857142,0.9821428571428572,0.0,7,11,18,2,0.0,True,0.0
61,WALNUT EXPANSION,7,-4.878477082857143,60.38522225589062,4.224442739285714,14.135895,-34.82991,90.11217493644432,10.853917,0.0,0.7142857142857142,0.9821428571428572,0.0,7,11,18,2,0.0,True,0.0
62,WALNUT EXPANSION III,7,-4.878477082857143,60.38522225589062,4.244913017857144,14.135895,-34.82991,90.11217493644432,10.941953,0.0,0.7142857142857142,0.9821428571428572,0.0,7,11,18,2,0.0,True,0.0
66,WIND GEM,7,-5.1019243375,61.38626063268612,4.472746396428572,13.133942,-31.3387,88.07589649065797,11.243249,0.0,0.7321428571428571,0.9821428571428572,0.0,7,11,16,2,0.0,True,0.0
67,WIOTA,7,-4.844513725714286,60.7542544360887,4.304317055357143,13.943512,-33.620926,89.1353065419329,11.12397,0.0,0.7142857142857143,0.9821428571428572,0.0,7,11,17,2,0.0,True,0.0
68,WOLVERINE,7,-5.018130226428572,61.48668461715457,4.485838776785714,13.188629,-31.42952,88.4254992376208,11.331578,0.0,0.7142857142857143,0.9821428571428572,0.0,7,11,17,2,0.0,True,0.0
48,PRAIRIE SWITCH,8,17.000601810714283,69.87295189823051,3.758092276785715,28.605621,-3.6183777,95.63231758563356,9.365532,0.6607142857142856,0.6428571428571428,1.0,0.4285714285714285,2,1,20,1,0.4285714285714285,False,0.4285714285714285
7,CENTURY OAK,8,12.807926016607142,44.06445285149518,4.559508982142858,29.334137,-10.532135,96.72966988032825,11.478553,0.4642857142857142,0.8928571428571428,0.9821428571428572,0.4464285714285714,1,2,5,2,0.4464285714285714,False,0.4464285714285714
65,WILLOW SPRINGS,8,11.950632503392852,40.659240425908486,4.747768833928571,29.876373,-11.231995,92.2486055119124,14.373422,0.4107142857142856,0.9464285714285714,0.9642857142857144,0.3928571428571428,3,4,2,3,0.3928571428571428,False,0.3928571428571428
35,LIMESTONE,8,12.860173489857145,63.98326037965792,4.288464866071428,26.988434,-10.226776,96.28985799537487,11.066305,0.4285714285714285,0.7678571428571428,0.9642857142857144,0.357142857142857,4,3,13,3,0.357142857142857,False,0.357142857142857
36,LIMESTONE F06 REPLACEMENT,8,12.780225353928572,64.37991154236435,4.288464866071428,26.721832,-10.373749,96.4980600687342,11.066305,0.4285714285714285,0.7678571428571428,0.9642857142857144,0.357142857142857,4,3,13,3,0.357142857142857,False,0.357142857142857
37,LOCKETT WIND,8,11.00123618875,43.848869133475134,4.608980748214286,29.455475,-12.702179,92.38448948570866,14.085273,0.3035714285714285,0.9464285714285714,0.9642857142857144,0.2857142857142857,5,5,2,3,0.2857142857142857,False,0.2857142857142857
64,WESTERN TRAIL,8,11.217031838035714,45.13274848255056,4.557840073214286,28.981842,-11.414612,94.68662350593831,13.582731,0.3035714285714285,0.9464285714285714,0.9642857142857144,0.2857142857142857,5,5,2,3,0.2857142857142857,False,0.2857142857142857
53,SHOOTING STAR,8,5.395467128214285,45.309671029918974,3.928329269642856,23.021545,-18.376526,89.91416720674536,10.386522,0.1428571428571427,0.9285714285714288,0.9642857142857144,0.1249999999999999,6,6,3,3,0.1249999999999999,False,0.1249999999999999
34,JAYHAWK,8,5.216072589625001,58.66478937855479,3.034065619642857,22.710114,-24.383774,95.57973150757468,7.8249884,0.0714285714285713,0.8214285714285714,1.0,0.0714285714285713,8,8,9,1,0.0714285714285713,False,0.0714285714285713
17,EAST FORK,8,3.350920891071429,41.681535995538205,3.819729569642857,22.619293,-20.518127,90.38605676955528,10.2274275,0.0714285714285714,0.9464285714285714,0.9821428571428572,0.0714285714285714,7,7,2,2,0.0714285714285714,False,0.0714285714285714
56,SUNFLOWER,8,3.973604503571429,53.68641872210684,3.2914591303571425,21.905426,-24.056625,95.66500180781372,8.122082,0.0357142857142856,0.875,1.0,0.0357142857142856,10,10,6,1,0.0357142857142856,False,0.0357142857142856
63,WESTERN PLAINS,8,3.679536578392857,41.821393037782016,3.7448810696428576,22.575348,-19.837463,91.69546981610507,10.283325,0.0714285714285714,0.9464285714285714,0.9821428571428572,0.0714285714285714,7,7,2,2,0.0714285714285714,False,0.0714285714285714
20,FLAT WATER,8,1.9094970608928563,54.233133373274335,3.945477271428571,20.081207,-25.811508,98.87579823471629,11.192819,0.0178571428571428,0.8392857142857143,0.9821428571428572,0.0178571428571428,11,11,8,2,0.0178571428571428,False,0.0178571428571428
22,FRANKLIN COUNTY,8,0.9131395460714288,51.00595607368344,3.7551326839285712,20.355865,-20.898987,88.2860340096632,9.424427,0.0178571428571428,0.875,1.0,0.0178571428571428,11,11,6,1,0.0178571428571428,False,0.0178571428571428
1,BROKEN BOW II,8,-1.2709892551785718,55.58486479480255,4.025364519642858,19.117584,-29.354416,92.0280685271266,10.162856,0.0,0.7678571428571429,0.9821428571428572,0.0,12,12,12,2,0.0,True,0.0
2,BULLDOG WIND,8,-0.6737161121071429,60.25754250578996,4.396706091071429,18.116364,-23.888657,98.97102868291915,14.037956,0.0,0.7142857142857142,0.9821428571428572,0.0,12,12,16,2,0.0,True,0.0
3,CARLETON COLLEGE,8,-4.788364935000001,69.90773883578309,3.4158436910714283,11.657135,-26.53778,86.89714380164665,9.791236,0.0,0.6964285714285714,1.0,0.0,12,12,17,1,0.0,True,0.0
4,CEDAR SPRINGS II-TPO 99,8,-4.678648833928572,60.62122982946039,5.639840730357143,12.536041,-28.396713,79.8475083676437,15.669586,0.0,0.9107142857142856,0.7321428571428571,0.0,12,12,4,8,0.0,True,0.0
5,CEDAR SPRINGS II-TPO57N,8,-4.91994615725,61.33238413454901,5.897328910714285,12.391998,-28.90271,81.59077452567935,15.877813,0.0,0.9107142857142856,0.6964285714285714,0.0,12,12,4,9,0.0,True,0.0
6,CENTERVILLE,8,1.093198510714286,61.172844708822005,3.751972467857143,18.338043,-21.76854,98.80477891933492,9.763625,0.0,0.7678571428571428,1.0,0.0,12,12,13,1,0.0,True,0.0
8,CHARLES CITY,8,-3.581457216964285,68.94117224566322,4.517005592857143,14.188141,-26.877625,95.12231243424512,19.779673,0.0,0.5357142857142857,0.9285714285714288,0.0,12,12,24,5,0.0,True,0.0
9,CONTRAIL,8,0.2393904166071428,59.21433077076249,4.110767198214286,18.930817,-23.889633,99.12855501704968,11.839966,0.0,0.7678571428571428,0.9821428571428572,0.0,12,12,13,2,0.0,True,0.0
