site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
51,SEVEN MILE HILL,44,4.607536703839285,44.91054831309887,4.563516542857142,16.462555,-9.048828,86.46573194570206,11.202216,0.0,0.8928571428571428,0.8928571428571428,0.0,18,20,4,5,0.0,True,0.0
51,SEVEN MILE HILL,45,3.8319762792857137,45.464505079932366,5.185247178571428,17.276764,-13.6345215,85.48023352857761,12.54017,0.0,0.9642857142857144,0.75,0.0,17,19,2,6,0.0,True,0.0
51,SEVEN MILE HILL,46,3.0473601482142865,48.14112692977203,4.894827417857143,16.39981,-18.298248,82.66182880770239,11.055185,0.0,0.9642857142857144,0.8571428571428571,0.0,18,19,2,5,0.0,True,0.0
51,SEVEN MILE HILL,47,0.1050357142857143,51.48148219547609,4.840685910714286,9.652985,-16.224823,72.8480130827028,10.212091,0.0,1.0,0.8928571428571428,0.0,8,8,1,4,0.0,True,0.0
51,SEVEN MILE HILL,48,-3.170699077857143,56.66155786364216,5.547865696428572,7.3788147,-15.423187,77.96441924699883,11.151437,0.0,0.9285714285714286,0.8571428571428571,0.0,7,6,3,5,0.0,True,0.0
51,SEVEN MILE HILL,49,-1.8350790176428573,65.17553520676478,5.980836467857143,7.3797913,-15.403778,79.81852154263584,12.778792,0.0,0.7857142857142857,0.7857142857142857,0.0,8,8,8,4,0.0,True,0.0
51,SEVEN MILE HILL,50,-1.7370248207142858,58.368943419534965,5.997625135714286,8.802521,-18.450317,80.28767509605385,11.781839,0.0,0.8214285714285714,0.75,0.0,7,7,5,8,0.0,True,0.0
51,SEVEN MILE HILL,51,-1.1103662960714278,55.846818064019686,6.137021746428571,12.884918,-31.322266,81.21423854632398,14.172798,0.0,0.9285714285714286,0.7142857142857143,0.0,8,8,3,9,0.0,True,0.0
51,SEVEN MILE HILL,52,-2.273315934642857,64.48194697540899,6.076427325,11.9461975,-19.79036,86.40836244669894,12.41745,0.0,0.75,0.7857142857142857,0.0,8,10,7,6,0.0,True,0.0
52,SEWARD,1,-3.2513566827250004,60.66254009398544,3.906766335714286,10.393219,-20.303345,85.4333085484904,8.673871,0.0,0.8214285714285714,1.0,0.0,5,5,7,1,0.0,True,0.0
